Slank;Formal
segitu;sebegitu
seh;sih
sehbs;sehabis
sejagad;sejagat
sejam;satu jam
sekaeang;sekarang
sekalain;sekalian
sekalas;sekelas
sekaliðÿ;sekali
sekaliiii;sekali
sekaramg;sekarang
sekarang2;sekarang-sekarang
sekarng;sekarang
sekelah;sekelas
sekli;sekali
sekrang;sekarang
sekrg;sekarang
sekrng;sekarang
selaaaaallu;selalu
selalau;selalu
selallu;selalu
selaluinta;selalu minta
selaluuuu;selalu
selasai;selesai
selelas;sekelas
selelrnya;seleranya
selemot;selama
seles;sales
selesai2;selesai-selesai
selfi;swafoto
sellau;selalu
selpi;selfie
seluer;seluler
seluller;seluler
semakain;semakin
semangkin;semakin
semejak;semenjak
semingguam;semingguan
semogagak;semoga tidak
semogah;semoga
sempet;sempat
semuamakinparah;semua makin parah
semuq;semua
sendir;sendiri
sendri;sendiri
senidir;sendiri
senternya;centernya
sentre;center
senyepam;banyak spam
seprti;seperti
sepuhhhh;sepuh
serf;self
seriap;setiap
seribet;sesulit
seriing;sering
seringggg;sering
serinh;sering
servernyabuka;servernya buka
servic;servis
sesampah;paling sampah
sesimpel;semudah
sesua;sesuai
sesuaibgm;sesuai bagaimana
setaaaan;setan
setabil;stabil
setahunan;setahun
setalah;setelah
setalh;setelah
setannn;setan
setatus;status
setatusnya;statusnya
setaunm;setahun
setelahbupdate;setelah update
setelh;setelah
setengah2;setengah-setengah
seterusny;seterusnya
setiapp;setiap
setlah;setelah
settings;setting
setuck;berhenti
setujuui;setujui
sgala;segala
sgla;segala
sgtu;sebegitu
sh;saya
shopeepay;shopee pay
shoping;shopping
shpee;shopee
siap2;siap-siap
siapapun;siapa pun
siasia;sia-sia
sich;sih
signal;sinyal
signalnya;sinyalnya
sihh;sih
sihhh;sih
sii;sih
siii;sih
siiii;sih
siip;sip
silahkan;silakan
silemot;si lambat
simcard;sim card
simpen;simpan
simple;mudah
simple2;mudah-mudah
singal;sinyal
sinple;mudah
sinqyal;sinyal
sinya;sinyal
sinyall;sinyal
sipp;sip
sippp;sip
sisi2;sisi-sisi
siste;sistem
sistem/layanan;sistem atau layanan
sistemny;sistemnya
sistim;sistem
sistimnya;sistemnya
sistmnya;sistemnya
sitem;sistem
situh;begitu
siyap;siap
sj;saja
sja;saja
skali;sekali
skalian;sekalian
skalinya;sekalinya
skarang;sekarang
skatbord;skateboard
skdr;sekedar
sketboard;skateboard
skian;sekian
skilnya;skillnya
skiming;skimming
skli;sekali
skr;sekarang
skrang;sekarang
skrg;sekarang
skrnag;sekarang
skrng;sekarang
slah;salah
slahâ;salah
slahh;salah
slalu;selalu
sldo;saldo
slesai;selesai
slh;salah
sll;selalu
sllu;selalu
slow;lambat
slowww;lambat
slw;lambat
sm;sama
sma;sama
smaa;sama
smakan;samakan
smakin;semakin
smalem;semalam
smapai;sampai
smeoga;semoga
smkin;semakin
smngt;semangat
smntra;sementara
smoga;semoga
smp;sampai
smpai;sampai
smpe;sampai
smsotp;sms otp
smtra;sementara
smua;semua
smuah;semua
sna;sana
sndiri;sendiri
sndri;sendiri
sngat;sangat
sni;sini
snp;snap
sns;sms
snyal;sinyal
soalny;soalnya
sok;terlampau
solisinya;solusinya
sombongggg;sombong
sononya;sananya
sory;maaf
sosmed;sosial media
sosmed/messenger;sosial media atau messenger
sowak;rusak
spay;shopee pay
specnya;spesifikasinya
speedtest;speed test
spek;spesifikasi
sperti;seperti
spre;sore
sprti;seperti
spt;seperti
sptnya;sepertinya
spy;supaya
srh;suruh
sring;sering
srmakin;semakin
sruh;suruh
ss;screenshot
ssah;susah
ssh;susah
ssndi;sandi
stack;berhenti
staff;staf
stag;berhenti
stak;berhenti
standart;standar
star;bintang
stelah;setelah
stiap;setiap
stlah;setelah
stlh;setelah
stterpack;starter pack
stuck;berhenti
stuk;berhenti
sua;saya
succes;sukses
suda;sudah
sudh;sudah
suee;sialan
sukaðÿ;suka
sukai;suka
sulid;sulit
suluit;sulit
suna;berguna
sungguhðÿ;sungguh
superrrr;super
suport;support
suru;suruh
susa;susah
susaaaahhh;susah
susaaahh;susah
susaah;susah
susaahh;susah
susahbget;susah banget
susahdi;susah di
susahðÿ;susah
susahh;susah
susahhh;susah
susahnyaa;susahnya
susahribet;susah ribet
sush;susah
susuah;susah
suwek;sial
swrba;serba
sx;sekali
sy;saya
sya;saya
syg;sayang
sys;saya
system;sistem
systemnya;sistemnya
syukakkk;suka
syulit;sulit
syuper;super
t4;tempat
taaauuu;tahu
tab;tabungan
tabunganya;tabungannya
tabungn;tabungan
taekk;tahi
tagihanya;tagihannya
tahu2;tahu-tahu
taii;tahi
taiiii;tahi
taiik;tahi
taik;tahi
taik-taik;jelek-jelekan
taikkkkkkkkkkkk;tahi
tak;tidak
take;ambil
tambahhh;tambah
tambahin;tambahkan
tambh;tambah
tampa;tanpa
tandaâ;tanda
tanggepanya;tanggapannya
tangung;tanggung
tarikkkk;tarik
tarus;terus
tataian;memperkirakan
tau;tahu
tau-tau;tahu-tahu
tau2;tahu-tahu
taw;tahu
tawarin;tawarkan
tb2;tiba-tiba
tba;tiba-tiba
tbaâ;tiba
tbtb;tiba-tiba
td;tadi
tdak;tidak
tdi;tadi
tdk;tidak
te;ter
teeparah;terparah
tef;transfer
teflon;telepon
teh;tuh
tekening;rekening
tekomendasi;rekomendasi
telalu;terlalu
telefon;telepon
teler;teller
telfon;telepon
telkom;telkomsel
tell;teller
telp;telepon
telp2;telepon-telepon
telpon;telepon
telponnya;teleponnya
telvon;telepon
teman2;teman-teman
temen2;temen-temen
temenâ;teman
temui;temukan
tenan;banget
terakhr;terakhir
teralu;terlalu
teranf;transf
teransaksi;transaksi
teransfer;transfer
terbaikðÿ;terbaik
terbodoh;paling bodoh
tercapture;kena foto
terdhebest;terbaik
terfivikasi;terverifikasi
tergoblok;paling goblok
teribet;paling ribet
terifakasi;verifikasi
terifikasi;verifikasi
terimah;terima
terimakasih;terima kasih
terimakasihh;terima kasih
terimaksih;terima kasih
terimkasi;terima kasih
terinstal;terinstall
terjelek;terburuk
terkahir;terakhir
terkatungâ;terkatung
terkeluar;keluar
terkembali;terkembang
terkontollll;paling kontol
terlallu;terlalu
terlemoootttt;terlama
terlemot;terlambat
terlewat/terlambat;terlewat atau terlambat
terlog;log
terlogout;kena logout
ternyta;ternyata
teroooossss;terus
teroooss;terus
teror;terus
teros;terus
terosss;terus
terossss;terus
terreset;kena reset
terua;terus
terus2;terus-terus
terusmohon;terus mohon
teruspdahl;terus padahal
teruss;terus
terusss;terus
terussss;terus
terusssss;terus
terussssss;terus
teruuuus;terus
tetep;tetap
tetepi;tetapi
tetjadi;terjadi
tetlalu;terlalu
tetp;tetap
teu;bukan
tf;transfer
tfr;transfer
tg;tanggal
tgl;tanggal
tgl2;tanggal-tanggal
thanl;thank
thebest;the best
thebestðÿ;the best
thn;tahun
thn2022;tahun 2022
tholol;tolol
thun;tahun
thx;terima kasih
tiba2;tiba-tiba
tibaâ;tiba
tibgkatkan;tingkatan
tida;tidak
tidaj;tidak
tidaka;tidak
tidaksinyal;tidak sinyal
tidal;tidak
tidk;tidak
tidkmrakyat;tidak merakyat
tilong;tolong
tindaklanjut;tindak lanjut
tingkaatt;tingkat
tks;terima kasih
tldk;tidak
tlf;telepon
tlfn;telepon
tlfom;telepon
tlfon;telepon
tlg;tolong
tll;tolol
tlng;tolong
tlol;tolol
tlong;tolong
tlp;telepon
tlpn;telepon
tlpon;telepon
tlvn;telepon
tmbah;tambah
tmbh;tambah
tmbol;tombol
tmn;teman
tmrw/uob;tmrw atau uob
tnp;tanpa
tnyata;ternyata
tnyta;ternyata
tokkkkk;aja
tolakðÿ;tolak
tolakk;tolak
tolng;tolong
tolo;tolol
tololl;tolol
tololllll;tolol
tolongdong;tolong
tolongg;tolong
tombal;tombol
too;to
toooop;top
tooop;top
toop;top
toup;top
tp;tetapi
tpi;tetapi
tpih;tapi
tpy;tapi
tq;terima kasih
tqpi;tapi
trakhir;terakhir
tramsaksi;transaksi
trandaksi;transaksi
tranfer;transfer
tranksaksi;transaksi
transak;transaksi
transaksi/transfer;transaksi atau transfer
transaksibtidak;transaksi tidak
transaksii;transaksi
transaksikan;transaksi kan
transaksinyah;transaksinya
transfer/top;transfer atau top
transfer/transaksi;transfer atau transaksi
transferan;transfer
transferðÿ;transfer
transksasinya;transaksinya
transper;transfer
transsaksi;transaksi
trasaksi;transaksi
trasfer;transfer
trasnfer;transfer
trbang;terbang
trbaru;terbaru
trdaftar2;terdaftar
trdetekksi;terdeteksi
trf;transfer
trik;tarik
trima;terima
trimakasih;terima kasih
trimaksih;terima kasih
trims;terima kasih
trlalu;terlalu
trmksh;terima kasih
trmksih;terima kasih
trnsaksi;transaksi
trnyata;ternyata
trnyta;ternyata
trobel;trouble
troble;problem
trooooos;terus
tros;terus
trpaksa;terpaksa
trptong;terpotong
trs;terus
trsansaksi;transaksi
trsfer;transfer
trsmbung;tersambung
trssss;terus
trus;terus
trusðÿ;terus
truss;terus
trusss;terus
trussss;terus
truz;terus
trx;transfer
trz;terus
tsb;tersebut
tsel;telkomsel
ttd;tanda tangan
ttep;tetap
ttiba;tiba
ttp;tetap
tu;tuh
tudak;tidak
tuk;untuk
tulisan/gambar;tulisan atau gambar
tulisannya"kamu;tulisannya "kamu
tulisanya;tulisannya
tumbuang;sialan
tunaiii;tunai
tunaiiiðÿ;tunai
tunggu2;tunggu-tunggu
tungguin;tunggu
tutor;tutorial
ubah2;rubah-rubah
ubdet;update
ud;sudah
uda;sudah
udaah;sudah
udah;sudah
udahh;sudah
udh;sudah
udhh;sudah
udpate;update
ufdat;update
ufdete;update
ug;yang
ui;user interface
ui/ux;user interface atau user experience
uinstal;uninstall
ujicoba;uji coba
ujung"nya;ujung-ujungnya
ujung2;ujung-ujung
ujung2nga;ujung-ujungnya
ujung2nya;ujung-ujungnya
ujungâ;ujung
ujungny;ujungnya
ulah;jangan
ulang/transfer;ulang atau transfer
ulangâ;ulang
ulangðÿ;ulang
ulangi;ulang
un_instal;uninstall
undifined;undefined
unfaedah;tidak berguna
unil;uninstall
uninsall;uninstall
uninsta;uninstall
uninstal;uninstall
uninstalll;uninstall
unistal;uninstall
unistall;uninstall
unser;user
unsintal;uninstall
untama;utama
untk;untuk
untuj;untuk
updat;update
update-sudah;update sudah
updateâ;update
updated;update
updeat;update
updet;update
updeth;update
updte;update
updute;update
upeate;update
upget;upgrade
upgrate;upgrade
upgred;upgrade
upgret;upgrade
uptade;update
urgent;urgen
urgentnya;urgennya
usa;usah
useful;usefull
usename;username
user-friendly;user friendly
user/jaringan;user atau jaringan
user/nasabah;user atau nasabah
user/password;user atau password
userfriendly;user friendly
userid;user id
usernam;username
userpassword;user password
ush;usah
usha;usah
utk;untuk
ux;user experience
vc;video call
vefikasi;verifikasi
verfikasi;verifikasi
verif;verifikasi
verikasi;verifikasi
verivikasi;verifikasi
vermuk;verifikasi wajah
vermuknya;verifikasi muka
vertifikasi;verifikasi
vertipikasi;verifikasi
verygood;very good
vetifikasi;verifikasi
vi;via
viatatransfer;via transfer
vitur;fitur
vivoy65;vivo y65
vrefikasi;verifikasi
wa;whatsapp
wae;aja
wafi;wifi
wajahlah;wajah
walapun;walaupun
walupun;walaupun
was2;waswas
wassalamu'alaikum;waalaikumsalam
watsapp;whatsapp
weeken;weekend
whatsap;whatsapp
whattshap;whatsapp
why;kenapa
wi-fi;wifi
wiffi;wifi
wifgi;wifi
wifi/data;wifi atau data
wifi/tidak;wifi atau tidak
wjah;wajah
wkwkwkkwkwkkkwkwkkwkwkwk;hahaha
wlpn;telepon
wlwpun;walaupun
wo;wol
woi;hai
woiiiii;hei
wokeeeey;oke
wong;orang
woooiiiii;hei
woooy;hei
wort;worth
woy;hai
xg;tidak
xlapakah;xl apakah
xmobile;mobile x
y;ya
y01a/seri;y01a atau seri
yä;ya
yaa;ya
yaaa;ya
yaaaa;ya
yaah;yah
yaahh;yah
yaahhh;yah
yaamasih;ya masih
yaampun;ampun
yaampunnnn;ya ampun
yaapa;ya apa
yaj;yah
yak;iya
yakali;iya kali
yasetelah;ya setelah
yatolong;ya tolong
yawdh;iya sudah
yess;yes
yg;yang
yh;ya
ykali;iya kali
ymau;ya mau
yoo;ya
yq;ya
yt;youtube
ytb;youtube
yth;yang terhormat
yuk;ayo
yuser;user
yutub;youtube
z;aja
zangat;sangat
zat;manfaat
zoonk;zonk
zuper;super
ann;anjing
bb;babi
bg;bank
cokk;weh
cooo;weh
coy;weh
cuy;weh
deehhh;aduh
eeh;eh
eiyy;aduh
euy;nih
euyy;nih
ge;juga
haha;hahaha
hahahah;hahaha
hahahaha;hahaha
halah;aduh
hedewwhhh;aduh
heduw;aduh
heii;halo
hese;susah
hhuh;huh
hoy;halo
ndri;sendiri
nyaaa;nya
nyh;nya
suuzon;berburuk sangka
wkkw;hahaha
wkt;waktu
wktu;waktu
wkwk;hahaha
wkwkkk;hahaha
wkwkkw;hahaha
wkwkw;hahaha
wkwkwk;hahaha
wkwkwkwkwkwk;hahaha
wkwwkwk;hahaha
woe;oi
woii;oi
woiii;oi
wooiiiii;oi
woyy;oi
woyyy;oi
yaelahhh;ya ampun
yahh;yah
delaynya;telatnya
ttpi;tetapi
complaint;komplain
doong;dong
dta;data
issuenya;masalahnya
lambaaaaaaat;lambat
nasabah/konsumen;nasabah atau konsumen
panjannnng;panjang
prasaan;perasaan
problemnya;masalahnya
recheck;cek ulang
rnd;riset dan pengembangan
setau;setahu
solved;sudah kelar masalahnya
👍;mantap
🙏;terima kasih
👎;kurang suka
🏻;mantap
😡;marah
🤦;capek
😭;sedih
❤;suka banget
👌;oke
ksm;kredit serbaguna mandiri
🥰;suka
😍;suka banget
:;yaitu
😁;senang sekali
brimonya;brimo
😘;suka sekali
😤;kesal
😊;senyum
🤔;bingung
🤣;haha
⭐;mantap
va;virtual account
😇;terima kasih
mantaap;mantap
🤬;marah
🙄;aneh
☺;senyum
😂;haha
♂;capek deh
tiba²;tiba-tiba
😑;aduh
👏;mantap
kerenn;keren
memudah;memudahkan
😎;keren
ngatur;mengatur
🖕;bodoh
mantull;mantap
♥;cinta
😒;sedih
seting;pengaturan
🤗;mantap
okee;oke
♀;aneh
sgt;sangat
🤩;cinta
𝑎;a
kerumah;ke rumah
memperbarui;memperbaharui
referal;referral
sanggat;sangat
😖;aduh
𝑛;n
😞;sedih
😢;sedih
emoney;e-money
💩;tai
😠;kesal
membntu;membantu
mmbantu;membantu
mantaf;mantap
makasi;terima kasih
𝙖;a
𝙨;s
kmren;kemarin
valas;valuta asing
😈;aduh
😋;mantap
kmrin;kemarin
✳;mantap sekali
😅;haha
kren;keren
✌;mantap
😓;sedih
😄;haha
🌟;mantap
🏆;juara
sampahh;sampah
buwat;buat
top-up;top up
wes;jadi
om;bapak
😪;aduh
𝙣;n
𝙞;i
e-walet;e wallet
🙂;mantap
stel;atur
lha;lah
setingan;pengaturan
teross;terus
ubdate;update
sangt;sangat
tk;tidak
gi;gimana
amiin;amin
sangan;sangat
🫰;mantap
mai;mau
smg;semoga
💕;cinta
🤝;mantap
🏼;mantap
🥴;lelah
sukaa;suka
mntp;mantap
brilink;bri link
kenapah;kenapa
🏿;mantap
𝑢;u
kehapus;terhapus
muter²;berputar
setel;atur
kt;kita
😥;sedih
bentar2;sebentar-sebentar
automatis;otomatis
qa;tidak
lemoott;lemot
update2;update-update
😔;sedih
✨;mantap
💸;haha
baguuss;bagus
mntapp;mantap
memebantu;membantu
efektip;efektif
kedepanya;ke depannya
vidio;video
gagal2;gagal-gagal
🔥;mantap
aamin;amin
🤓;haha
wossh;mantap
sanagat;sangat
trimakasi;terima kasih
mantaapp;mantap
💪;mantap
puass;puas
ia;dia
seneng;senang
🎉;mantap
🥳;mantap
ngurusnya;mengurusnya
ttap;tetap
eg;tidak
15menit;15 menit
dihati;di hati
kec;kecamatan
tingkatkn;tingkatkan
pokoke;pokoknya
okk;oke
perbangkan;perbankan
sagat;sangat
kntl;kontol
🤲;terima kasih
fitur2;fitur-fitur
gmnaa;bagaimana
adaa;ada
yach;yak
disetiap;di setiap
ukt;uang kuliah tunggal
berkali²;berkali-kali
2minggu;2 minggu
blokiran;blokir
𝐚;a
diliat;dilihat
sangant;sangat
☝;good
motong;dipotong
sbn;surat berharga negara
bgaimna;bagaimana
sngt;sangat
km;kamu
skg;sekarang
diklik;di klik
ggl;gagal
iso;bisa
bc;bca
akhir²;akhir-akhir
gara²;gara-gara
beberpa;beberapa
nyampek;sampai
troubel;trouble
sndi;sandi
lama²;lama-lama
mndiri;mandiri
🤷;aneh
loginya;loginnya
rusakk;rusak
livi;livin
tansaksi;transaksi
hpku;handphone saya
lohh;loh
tersetting;diatur
lain2;lain-lain
taunya;tahunya
bapa/ibu;bapak atau ibu
🥱;capek
kq;kok
💥;oke
😩;capek
bntu;bantu
payaahh;payah
mhal;mahal
kyak;kayak
updatee;update
krtu;kartu
w;saya
tross;terus
/;atau
mbnya;ukurannya
dikit²;sedikit-sedikit
pokona;pokoknya
traksaksi;transaksi
brapa;berapa
diatm;di atm
bermanfat;bermanfaat
hadeehh;aduh
joz;mantap
mmbntu;membantu
oky;oke
psang;pasang
sekalai;sekali
thnks;terima kasih
smga;semoga
mantapss;mantap
jarang2;jarang-jarang
memudahkn;memudahkan
bertraksaksi;bertransaksi
pak/buk;bapak atau ibu
downlod;download
baikk;baik
kerenz;keren
mbank;ibu
mebantu;membantu
sanga;sangat
gaperlu;tidak perlu
bngat;banget
bsknya;besoknya
gandoss;betul
username/password;username atau password
setres;stress
maless;males
layanin;layanan
haturnuhun;terima kasih
lncar;lancar
ribet2;ribet-ribet
ngatasinnya;mengatasinya
mempermuda;mempermudah
prlu;perlu
perfec;perfect
apliksinya;aplikasinya
aink;saya
meni;sangat
am;sama
undip;universitas diponegoro
kalaw;kalau
bener²;benar-benar
ujung²;ujung-ujung
😴;aduh
zoss;mantap
wangy;wangi
markotopp;mantap betul
lagih;lagi
mantaabb;mantap
bermaafaat;bermanfaat
pooll;poll
autodebet;autodebit
tw;tahu
kacauu;kacau
ws;wes
gaes;teman
sedikit2;sedikit-sedikit
intruksi;instruksi
jlk;jelek
trimah;terima
𝙜;g
𝙥;p
𝙠;k
𝙪;u
𝙧;r
🌹;betul
mks;terima kasih
waw;bagus
bagud;bagus
🥺;sedih
maksih;terima kasih
jozz;mantap
💯;mantap
evisien;efisien
14hari;14 hari
transfr;transfer
aktipkan;aktifkan
seger;segar
katax;katanya
10rb;10000
apa²;apa-apa
terus²an;terus-terusan
giamana;bagaimana
jirr;weh
singkron;sinkron
repot2;repot-repot
ofline;offline
taun;tahun
diakun;di akun
pernh;pernah
😟;kecewa
screenshoot;screenshot
kreteria;kriteria
pengunaan;penggunaan
plsa;pulsa
pengoprasiannya;pengoperasiannya
icon2;ikon-ikon
gaje;tidak jelas
🤕;kecewa
nmor;nomor
bangeett;banget
biyaya;biaya
transaki;transaksi
aangat;sangat
𝐥;l
𝐡;h
ulang2;ulang-ulang
🥵;lelah
pengunanya;penggunanya
klen;kalian
😉;terima kasih
saangat;sangat
afdet;update
aflikasi;aplikasi
tb;tiba
pertransfer;per transfer
🏽;mantap
belik;beli
hdehh;aduh
selsai;selesai
😬;mantap
somoga;semoga
lier;bingung
ganti2;ganti-ganti
kamprett;bodoh
gangguan²;gangguan-gangguan
duluu;dulu
𝑔;g
𝑚;m
𝑑;dulu
𝑟;r
kerna;karena
teruz;terus
siyal;sial
masaiya;masa iya
oengaturan;pengaturan
loginn;login
berulangkali;berulang kali
nau;mau
guoblok;goblok
krj;kerja
topp;top
btuh;butuh
satpam-nya;satpamnya
gagall;gagal
ganti²;ganti-ganti
mandari;mandiri
diriwayat;di riwayat
sbg;sebagai
45288;45288
ngeluarin;mengeluarkan
😏;aneh
dipengaturan;di pengaturan
msukkn;masukkan
almt;alamat
mskkn;masukkan
kodeny;kodenya
tranper;transfer
25rb;25000
kemarin2;kemarin-kemarin
gausa;tidak usah
livingnya;livinnya
moderen;modern
lipin;livin
afa;apa
kira²;kira-kira
20ribu;20000
cocokan;cocokkan
bank²;bank-bank
livinya;livinnya
tf2;transfer-transfer
surih;suruh
5k;5000
kerjasamanya;kerja samanya
teruuss;terus
ikd;identitas kependudukan digital
kmbali;kembali
padhl;padahal
tranfers;transfer
trnsfer;transfer
gaguna;tidak berguna
stor;setor
nentu;menentu
mandri;mandiri
1minggu;1 minggu
eror2;error-error
jwbannya;jawabannya
kh;kah
korang;kurang
peke;pakai
masuk²;masuk-masuk
95ribu;95000
pngiriman;pengiriman
ngebuka;membuka
sajaa;saja
tibatiba;tiba-tiba
arahanya;arahannya
brkurang;berkurang
passwoard;password
gunaa;guna
200k;200000
usd;us dollar
idr;indonesian rupiah
sampe2;sampai-sampai
amplikasi;aplikasi
betulin;betulkan
pngaturan;pengaturan
solusiny;solusinya
miin;bapak atau ibu
brmanfaat;bermanfaat
penjelasanya;penjelasannya
ketangan;ke tangan
50ribu;50000
payletter;paylater
ngfreeze;ngefreeze
😫;capek deh
kmarin;kemarin
🤧;sedih
sharusnya;seharusnya
trnfer;transfer
aplikasii;aplikasi
kapokk;kapok
😕;aneh
blass;banget
2hari;2 hari
tnya;tanya
gajih;gaji
ahir;akhir
py;punya
2kali;2 kali
kdg;kadang
dpersulit;dipersulit
stelan;setelan
nyalain;nyalakan
𝗸;k
𝗶;i
𝗱;d
2jam;2 jam
jam2;jam-jam
terasper;transfer
terimakasi;terima kasih
butuh²nya;butuh-butuhnya
disetting;di setting
atuh;dong
kcp;kantor cabang
trfers;transfer
a/n;atas nama
siipp;sip
otomati;otomatis
ngurusin;mengurus
719;719000
jdnya;jadinya
cepat²;cepat-cepat
🤑;mantap
knph;kenapa
gakbisa;tidak bisa
asek;asik
jayaa;jaya
embengking;mobile banking
kenyamana;kenyamanan
layananya;layanannya
yee;ya
tia;tiap
kbuka;kebuka
diuptade;di update
otmtis;otomatis
wktunya;waktunya
propesional;profesional
berasil;berhasil
tok;saja
updatex;update
apdeth;update
mll;melulu
prbarui;perbaharui
lodingannya;loading
rmhnya;rumahnya
12.00/bulan;12000 per bulan
45417;5500
usernama;username
ngerubah;merubah
177k;177000
whooyy;woi
troos;terus
jobb;job
pkok;pokok
b3rmanfaat;bermanfaat
mudaah;mudah
mudahe;mudah
usname;username
memvantu;membantu
friksi;verifikasi
jengkl;jengkel
paje;pakai
selfinya;selfienya
satunua;satunya
ot;out
vervikasi;verifikasi
penempataan;penempatan
hehehehh;hehe
tansfer;transfer
sukak;suka
manfaatnys;manfaatnya
josht;mantap
mantaab;mantap
debest;the best
pokoknyaa;pokoknya
manjay;mantap
hp/no;handphone atau nomor
agk;agak
lumyan;lumayan
syulitt;sulit
bisasa;bisa
kntornya;kantornya
mobilbanking;mobile banking
paword;password
masih;masih
vedio;video
smentara;sementara
okebingits;oke banget
ilang2;hilang-hilang
muantapp;mantap
difahami;dipahami
50nya;50 nya
berputa;berputar
efisian;efisien
cp;cepat
bertamba;bertambah
bagaiman;bagaimana
rekekning;rekening
okeoce;oke
ancar;lancar
alhamdllah;alhamdulilah
sega;segala
lamma;lama
ibank;internet banking
dahsyatt;dahsyat
berlu;perlu
mana2;mana-mana
hahahahaha;haha
1m;1 meter
trimskasih;terima kasihnya
oprasionalkan;operasionalkan
dipelosok2;dipelosok-pelosok
transefer;transfer
digunakn;digunakan
ngisinya;mengisinya
knpah;kenapa
dptar;daftar
rijek;ditolak
daftar/buat;daftar atau buat
silahkanasuk;silahkan masuk
loginasuk;login masuk
perdulit;persulit
gra;gara
bejibun;banyak
tidsk;tidak
uangx;uang
cmak;cuma
consumen;konsumen
sejauhini;sejauh ini
amsyongg;pusing
googling;cari
kereenzz;keren
managemen;manajemen
membabtu;membantu
maijic;magic
uwauuw;wow
res;respon
wokey;oke
okaylah;oke lah
sehari2;sehari-hari
uruan;urusan
exellent;excellent
dikasi;dikasih
teebaiklah;terbaik
qriss;qris
brtransaksi;bertransaksi
masok;masuk
gris;qris
🖤;suka sekali
transakisnya;transaksinya
m3mudahkan;memudahkan
mengunakanya;menggunakannya
kes;cash
verygudverywel;very good very well
selaluu;selalu
ateemnya;atm nya
bermnpaat;bermanfaat
rumh;rumah
jdu;jadi
kuh;saya
amplikasikan;aplikasikan
anggsuran;angsuran
amn;aman
tnsaksi;transaksi
gandoz;mantap
ygy;ya
adx;ada
mbyr;membayar
kadang²;kadang-kadang
msukin;masukin
bapa;bapak
gogle;google
slamat;selamat
seumoga;semoga
seujahtera;sejahtera
paswword;password
sekali²;sekali-kali
pkonamah;pokoknya
hp-nya;handphonenya
akay;oke
peraman;aman
asyik;asik
pigi;pergi
mudaahh;mudah
cepatt;cepat
🩷;cinta
50.00,150.00,250.00;50000, 150000, 250000
sangata;sangat
membuang2;membuang-buang
cumana;cuman
ceat;cepat
pokokx;pokoknya
memantu;membantu
sedikit²;sedikit-sedikit
mmasukan;memasukkan
trbkokir;terblokir
thankyou;thank you
ampash;jelek
usernme;username
setor/tarik;setor atau tarik
diperpanjang;di perpanjang
antre;antri
udan;sudah
nama/tgl;nama atau tanggal
bri'bisa;bri bisa
susruh;suruh
kada;tidak
daftar²;daftar-daftar
sedangkn;sedangkan
antrii;antri
oflinenya;offlinenya
ya/tidak;iya atau tidak
repit;repot
perfacett;perfek
butuhkanbaik;butuhkan baik
playananya;pelayanannya
aplikasix;aplikasinya
briimo;brimo
minesnya;minusnya
mrmbantu;membantu
cumah;cuma
gimasi;bagaimana sih
kemarin²;kemarin-kemarin
fahami;pahami
mesih;masih
mantepp;mantap
carak;jarak
macet2;macet-macet
tls;terima kasih
drmh;di rumah
naruh;menaruh
senditi;sendiri
lelett;lambat
smin;admin
adi;dari
bukaan;bukan
belanja2;belanja-belanja
indhihome;indihome
5harian;5 harian
ati2;hati-hati
usurname;username
begian;bagian
3juta;3000000
anying;anjing
gima;bagaimana
dgna;dengan
700ribu;700000
lpa;lupa
paswod;password
xli;kali
pulihkn;pulihkan
nitifikasi;notifikasi
kwalitas;kualitas
falitas;fasilitas
bahutang;berhutang
loveyou;love you
senan;senang
waoo;wow
waaoo;wow
gaassddss;gas
terim;terima
developeenya;developernya
komenan;komentar
icon2nya;icon-iconnya
akunku;akun aku
bngking;banking
dbesst;the best
peetahan;pertahankan
offlin;offline
bngtt;banget
bguss;bagus
berurang;berkurang
sumpa;sumpah
katany;katanya
merkam;merekam
perasan;perasaan
menggunakn;menggunakan
bandingkn;bandingkan
dengn;dengan
vdeo;video
♡;suka
membantuk;membantu
fitur²;fitur-fitur
goodday;good day
dant;dan
kere;keren
membanntu;membantu
suprise;surprise
ngulur2;mengulur-ulur
keli;kali
tahap2;tahap-tahap
uploadny;uploadnya
verefikasi;verifikasi
kblokir;ke blokir
asalamulaikum;assalamualaikum
alkhmdllh;alhamdulillah
rakyak;rakyat
netral/menu;netral atau menu
meangapa;mengapa
tidam;tidak
manta;mantap
juqa;juga
brikan;berikan
playan;pelayanan
menqerti;mengerti
plng;paling
barkot;barcode
kakilima;kaki lima
denfan;dengan
menux;menunya
ank;anak
scara;secara
kunoo;kuno
iyaa;iya
kendalaa;kendala
closs;close
ttopp;mantap
mantaplahh;mantap lah
mantuull;mantap betul
iyain;iya
m3mbantu;membantu
tibet;ribet
pateenn;paten
wkw;hahahaha
kuplit;komplit
sakratul;sakaratul
yeess;iya
jya;iya
admindnya;adminnya
ok2;oke oke
sekaallii;sekali
bermampat;bermanfaat
topmarkotop;mantap banget
kegunaanya;kegunaannya
silhkn;silahkan
dawnload;download
fre;gratis
kesemua;ke semua
yaak;ya
embel2nya;embel-embelnya
gabakalan;tidak akan
mantri2nya;mantri-mantrinya
mbanbking;mobile banking
ferfall;referral
fit;padat
ebanyakan;kebanyakan
